Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Lolita's Taco Shop,California,Kearny Mesa,,7,3,,,3.5,2,3,4,2,4,3,3,4,3,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,California,Kearny Mesa,,7,3.5,,,3,5,3,3.5,3,1.5,3,3,4,3.3,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,Kearny Mesa,,7,2.2,,,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,Kearny Mesa,,7,3.5,,,4,4,4,3,4,5,4,4,5,4,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco shop,Carne asada,Kearny Mesa,,6.25,4,,,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Cabos,Al pastor,San Marcos,,5.69,3,,,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Los Cabos,California,San Marcos,x,5.99,4,,,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los palmitos,Surf & Turf,Clairemont,,8.25,3.5,,,3.5,4,4,3,3.5,4.5,3.5,3.5,5,3.6,,X,,X,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,
Los palmitos,California,Clairemont,x,7.1,4,,,4.5,5,3.8,3.8,4,4,3.9,4.3,5,4.3,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,Bitchin California,Hillcrest,,7.25,4,,,4,4,5,4.5,4,3.5,5,4.5,5,4.4,,x,,x,x,x,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,
Los Panchos Taco Shop,California,Hillcrest,x,6.25,3,,,3.5,5,4,3,4,3,3.5,3.5,3,3.7,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
